"Title","Link","Desc","Year","Runtime"
"Arogya Niketan","https://hoichoi.tv/films/title/arogya-niketan","নবগ্রামের জীবন ডাক্তার একেবারে ধন্বন্তরি। সবাই জানে আয়ুর্বেদিক চিকিৎসায় তাঁর তুলনা নেই। এমন সময়, সেই একই গ্রামে এসে প্র্যাক্টিস শুরু করে এমবিবিএস পাস করা অ্যালোপ্যাথী ডাক্তার প্রদ্যুত সেন – আর শুরু হয় পুরোনোর সঙ্গে নতুনের, চিরাচরিতের সঙ্গে আধুনিকের, অহংকার আর অভিজ্ঞতার লড়াই। দেখুন ‘আরোগ্য নিকেতন’, শুধুমাত্র হইচই-তে।
","1969",8107
"Arshinagar","https://hoichoi.tv/films/title/arshinagar","An adaptation of Shakespeare's Romeo and Juliet, the film revolves around Ranajit and Julekha belong to rival families where the enmity between them goes way back. However, when they meet, there is an unbeatable connection that eventually turns to love.","2013",9078
"Asche Bochor Abar Hobe","https://hoichoi.tv/films/title/asche-bochor-abar-hobe","""Asche Bocchor Abar Hobe"" revolves around Arya and Piu who meet each other and soon love blossoms between the two. But, their relationship is tested when they get intimate with each other.","2015",7446
"Ashani Sanket","https://hoichoi.tv/films/title/ashani-sanket","Gangacharan is a village Brahmin who teaches, organises religious events and tries to prevent epidemics. However, things get difficult with a raging war and an approaching famine.","1955",5818
"Ashite Ashiona","https://hoichoi.tv/films/title/ashite-ashiona","""Ashite Ashiona"" is about a man in his 80s who wishes to go back to his youth. Things take a hillarious turn when he falls into a pond and is overjoyed when his dream comes true.","1965",5733
"Atal Jaler Ahwan","https://hoichoi.tv/films/title/atal-jaler-ahwan","Sreemonto, who raises his son Jayanta single-handedly, finds solace in his friend Anuradha but soon, she leaves him. Years later, Jayanta falls in love with Anuradha's daughter.","2011",7670
"Atanka","https://hoichoi.tv/films/title/atanka","""Atanka"" tells the story of an aged teacher who witnesses a crime committed by his students. Will he speak up or be haunted into silence? ","1957",6398
"Autograph","https://hoichoi.tv/films/title/autograph","Arun, a famous Bengali actor, approves Shuvobrata's proposal of remaking Satyajit Ray's famous film 'Nayak'. Problems arise when Shuvobrata requests his live-in girlfriend Shrin to act opposite Arun.","2012",8340
"Awara","https://hoichoi.tv/films/title/awara","Surya falls in love with a girl and follows her to Kolkata, where she stays with her rowdy elder brother. Later, he decides to rescue her when he discovers that a gangster wants to marry her forcibly.","2012",8630
"Baba Taraknath","https://hoichoi.tv/films/title/baba-taraknath","A Bengali film on sibling love, told through a truck driver’s efforts to save his brothers from an evil businessman. Watch the film online on hoichoi.
","1977",9057
"Bagh Bondi Khela","https://hoichoi.tv/films/title/bagh-bondi-khela","Rajesh cannot condone his father’s vices and illegal crimes. Will he stand by his father, when he decides to support Rajesh? Watch the full movie on Hoichoi.","1973",7612
"Baghini","https://hoichoi.tv/films/title/baghini","""Baghini"" tells the story of Dugga who joins Chiranjib’s liquor business and falls in love with him. But since, he does not want her to be a part of his disturbed life, he decides to mend his ways.","1958",8613
"Baidurya Rahasya","https://hoichoi.tv/films/title/baidurya-rahasya","A Tapan Sinha classic, ""Baidurya Rahasya"" explores the ivestigation of Detective Madan Bose who tries to resolve the mystery of the electric gem.","1957",6533
"Baisakhi Megh","https://hoichoi.tv/films/title/baishakhi-megh","Set in the pre-independence era, ""Baisakhi Megh"" revolves around a four college students who rob a bank and unintentionally land up killing a police officer.","1980",8776
"Baishey Shravana (1960)","https://hoichoi.tv/films/title/baishey-shravana-1960","""Baishey Shravana"",  set in a village, portrays the pains of poverty, famine, and joblessness, before World War II. Watch one of the greatest films by ""Mrinal Sen"". ","1974",4890
"Bandini","https://hoichoi.tv/films/title/bandini","""Bandini' is a romantic film that narrates the stories of women and the struggles of their lives. Will they get their happy ending? ","1989",7913
"Bangali Babu English Mem","https://hoichoi.tv/films/title/bangali-babu-english-mem","Madhusudan, a young Bengali man, decides to go to Canada to attain its citizenship. At the airport, he befriends an aspiring fashion designer, Riya, and soon their friendship develops into love.","2014",8711
"Banku babu","https://hoichoi.tv/films/title/bankubabu","Bonku Babu has absolute control over his household, and even denies permission to his son and daughter-in-law to live separately. Things take a turn when the patriarch meets with an accident.","2015",8629
"Bapi Bari Ja","https://hoichoi.tv/films/title/bapi-bari-ja","After finding love and struggling through a decision on their careers, five friends must face the harsh realities of the world.","2014",6886
"Basanta Bilap","https://hoichoi.tv/films/title/basanta-bilap","""Basanta Bilap"" is a classic romcom that revolves around a huge but hilarious rivalry between the men and women living in a hostel - until love strikes! ","1955",7074
"Bastu Shaap","https://hoichoi.tv/films/title/bastu-shaap","A pair of professionals, who specialize in Vastu Shastra, are sent on a secret mission to a household in the outskirts of Darjeeling where they are supposed to figure out the root of the problem and provide a solution for the couple.","2008",7773
"Bawal","https://hoichoi.tv/films/title/bawal","""Bawal"" tells the story of Jishu who tries to elope with his girlfriend as they fail to get their parent's blessings. However, things take a different turn when he accidentally captures the sisters of a gangster instead of his girlfriend.","2017",7101
"Bazee","https://hoichoi.tv/films/title/bazee","Kashinath visits the city to meet his childhood friend, Raju. However, upon reaching the city he struggles to cope up with the modern society but a rich woman, Bobby, falls in love with him.","2012",8760
"Bedeneer Prem","https://hoichoi.tv/films/title/bedeneer-prem","Arjun is adopted and raised by a group of snake charmers, who name him Shiba. He falls in love with Radha and learns about his biological parents, who oppose their union.","2011",9120
"Belaseshe","https://hoichoi.tv/films/title/belaseshe","Biswanath after fifty years of his marriage with his wife Arati, decides to file for divorce. Was their whole life together just a compromise? Watch ""Belaseshe"", one of the most unique romantic stories.",NA,8457
"Bhalo Theko","https://hoichoi.tv/films/title/bhalo-theko","""Bhalo theko"" revolves around Anandi who lives with her parents, siblings and uncle and is in love with Babua. However, her life changes drastically when Babua goes abroad.","1971",7157
"Bhalobasa Bhalobasa","https://hoichoi.tv/films/title/bhalobasa-bhalobasa","Keya falls in love with Arup, the son of a famous deceased singer. However, the couple faces many obstacles when the girl's father decides to get her married to another man.","1985",8355
"Bhanu Goenda Jahar Assistant","https://hoichoi.tv/films/title/bhanu-goenda-jahar-assistant","""Bhanu Goenda Jahar Assistant"" is a classic comedy film about two detectives, Bhanu and Jahar, investigating the case of a girl who runs away from home! ","1969",6469
"Bhanu Pelo Lottery","https://hoichoi.tv/films/title/bhanu-pelo-lottery","Bhanu, a village-based artisan, makes a livelihood by singing and selling earthen toys. However, his life turns upside down when he wins a lot of money in a lottery.","1958",6185
"Bhokter Maa","https://hoichoi.tv/films/title/bhokter-maa","Bhokter Maa- a mythological film based on the Hindu legend of the war of the gods against the demons torturing the people on earth. ","2011",9906
"Bhooter Bhabishyat","https://hoichoi.tv/films/title/bhooter-bhabishyat","The experience of a filmmaker in a haunted house meets a film-buff who gives him a pot boiling story of a gang of ghosts. Is it just a story or are these ghosts around ? Watch the biggest comedy blockbuster of Bengali cinema ""Bhooter Bhabishyat"".","2012",7153
"Bibaho Diaries","https://hoichoi.tv/films/title/bibaho-diaries","Pratay and Royona, a young couple experience a different taste of life before and after their marriage. A hillarious romantic comedy that explores old age problems and new age solutions - ""Bibaho Diaries"".",NA,7543
"Bibaho Obhijaan","https://hoichoi.tv/films/title/bibaho-obhijaan","Rajat and Anupam, frustrated with their wives, flee from them but get entrapped in hilarious situations. Watch the pot boiling comedy ""Bibaho Obhijaan"".","2012",7066
"Bibhas","https://hoichoi.tv/films/title/bibhas","Bibhas, reaches a village where he finds work in a doctor's office. As a shocking turn of events, he finds out that the doctor has murdered many people and plans to expose his reality.","2011",7658
"Bicycle Kick","https://hoichoi.tv/films/title/bicycle-kick","""Bicycle Kick"" is a sports drama that revolves around Moti Nandy, a failed football player turned coach, trying to help a young, gifted player. Will he succeed? ","2014",4114
"Bidhatar Khela","https://hoichoi.tv/films/title/bidhatar-khela","Biswanath's wife Uma accepts and loves his family members like her own. However, things change when his brother marries a rich girl and their family gets separated.","2011",8826
"Bindaas","https://hoichoi.tv/films/title/bindaas","A Bengali hit starring Dev, narrating the story Abhi who falls in love with Kajol and tries to convince her family. Watch the 
",NA,9182
"Bindur Cheley","https://hoichoi.tv/films/title/bindur-cheley","Bindubasini, a young woman, faces conflicts in her married life. In an attempt to divert her attention, she decides to raise a child.","1973",6551
"Bipasha","https://hoichoi.tv/films/title/bipasha","A Bengali film about Bipasha who loves Dibyendu. What happens when he goes looking for his parents? Watch the Uttam-Suchitra film online on hoichoi.
","1962",7155
"Bisha Brikha","https://hoichoi.tv/films/title/bisha-brikha","Bisha Brikha tells the tale of a zamindar caught between his married life and his feelings for a gorgeous woman. Watch the onscreen adaptation of the novel by Bankim Chandra Chattopadhyay","1982",7478
"Bisorjon","https://hoichoi.tv/films/title/bisorjon","""Bisorjon"" revolves around Padma, a widow who finds an injured man on the banks of a river in Bangladesh and brings him home, without knowing who he really is.","2015",8278
"Biyallish","https://hoichoi.tv/films/title/biyallish","A Hemen Gupta directorial, the story revolves around the 'Quit India Movement' of 1942, as seen from the eyes of the people of a small town in Bengal. It depicts how Indians forced the British Empire to leave India.","1958",9060
"Bojhena Shey Bojhena","https://hoichoi.tv/films/title/bojhena-shey-bojhena","Two pairs of lovers embark on a bus journey, unaware of what their fate has in store for them. However, things take a drastic turn when their bus meets with an accident.",NA,8435
"Bolo Dugga Maiki","https://hoichoi.tv/films/title/bolo-dugga-maiki","Shamyo, surrounded by his own lies, changes when he meets a girl Uma, on a train. Watch one of the best comedies ""Bolo Dugga Maiki"".","2017",9462
"Bonpalashir Padabali","https://hoichoi.tv/films/title/bonpalashir-padabali","A Uttam Kumar directorial, ""Bon Palashir Padabali"" is a romantic drama about three stories on the lives of people living in a village named Bon Palashi. ","1973",32832
"Borbaad","https://hoichoi.tv/films/title/borbaad","Joy, a youngster, aims to own a bike and win the heart of his lady-love Nandini. Things take a turn when his newly purchased bike is stolen by gangster Akram.","2011",8232
"Bornoporichoy","https://hoichoi.tv/films/title/bornoporichoy","Dhanonjoy, a cop goes beyond everything to hunt down Arko, a serial killer, nearly ruining his life. Watch the neo noir crime thriller ""Bornoporichoy"".","2013",6076
"Boss","https://hoichoi.tv/films/title/boss","Surya, who aspires to become a don, accidentally falls in love with the daughter of the police commissioner. Watch one of the greatest bengali action film of all time ""Boss"".",NA,8258
"Boudi.Com","https://hoichoi.tv/films/title/boudicom","""Boudi.com explores a woman’s relationship with her four brothers-in-law, highlighting women’s role in society. ","2011",8200
"Brahma Janen Gopon Kommoti","https://hoichoi.tv/movies/brahma-janen-gopon-kommoti-2020","Sabari is a professor with a secret desire to perform rituals. This is a story of her struggles to become the first female priest while her own fiancé is shocked by her decision.
",NA,7482
"Brojobuli","https://hoichoi.tv/films/title/brojobuli","""Brojobuli"" revolves around an office clerk, Brajaraj, who loves to boast about his heroic activities at office, and then falls in his own trap when he challenges to match against a wrestler.","1979",6614
"Bye Bye Bangkok","https://hoichoi.tv/films/title/bye-bye-bangkok","""Bye Bye Bangkok"" is a hillarious ride of four couples who land up in Bangkok, get twindled in a game of hide and seek and secret affairs.","2011",6174
"Chaamp","https://hoichoi.tv/movies/chaamp-2017","Shibaji, a star-boxer, faces a grave injury that ruins his boxing career. But will he be able to get his strengths together again and fight in the ultimate game of life?","2017",9121
"Chaitali","https://hoichoi.tv/films/title/chaitali","Amitabha, a teacher and Lajwanti, his student who is learning Bengali from him fall in love with each other. However, things take a drastic turn when Kumar, a smuggler kidnaps Lajwanti and puts the blame on Amitabha. ","2011",8183
"Challenge","https://hoichoi.tv/films/title/challenge","A Bengali romantic film about a young man determined to win the woman he loves and challenges her protective father. Watch the Dev hit online on hoichoi.
",NA,9060
"Challenge 2","https://hoichoi.tv/films/title/challenge-2","A Bengali action movie about a man’s fight for justice for his father's death. Will he succeed in his mission? Watch the Bengali hit starring Dev, only on hoichoi
","2012",9698
"Champion","https://hoichoi.tv/films/title/champion","Champion revolves around Raja, a laid-back young man, who fights and struggles for his injured brother by winning in a kick-boxing match in his stead.",NA,12060
"Char Adhyay","https://hoichoi.tv/films/title/char-adhyay","""Based on the novel by Tagore, the film revolves around Atindra and Ela, part of the Indian freedom struggle, are deeply in love with each other. Their group leader, Indranath, however, opposes their alliance and plans to separate them.
""","2018",7864
"Charachar","https://hoichoi.tv/films/title/charachar","""Charachar"" tells the story of a man Lakha, who hails from a family of bird catchers. However, when he starts questioning the purpose and value of his profession, his life starts getting complicated.","1991",4669
"Charmurti","https://hoichoi.tv/films/title/charmurti","Based on the novel by Narayan Gangopadhyay, ""Charmurti"" revolves around Tenida and his friends investigating the mystery of a haunted house. A laugh riot like no other! ","1977",7124
"Chaya Surya","https://hoichoi.tv/films/title/chaya-surya","Ghetu, a young woman with a dark complexion, is always compared to her beautiful sister. However, life turns worse for her after her lover dies and she has to face the wrath of the society.","2011",7463
"Chiriakhana","https://hoichoi.tv/films/title/chiriakhana","Based on the story by Saradindu Bandopadhyay, ""Chiriakhana"" explores the investigation of Detective Byomkesh Bakshi, when Dr Nishanth is murdered, he decides to probe into the case with the help of his close aide, Ajit.","1955",7302
"Chirodini Tumi Je Amar","https://hoichoi.tv/films/title/chirodini-tumi-je-amar","Pallavi, a rich, spoilt girl, falls in love with Krishna, a scooter mechanic, and gets married without her parents' approval. The situation takes an ugly turn when her family tries to separate them.","2015",9300
"Chirodini Tumi Je Amar - 2","https://hoichoi.tv/films/title/chirodini-tumi-je-amar-2","An agonizing tale of love and desire, focusing on the difference of power, social values and respect for others among the different classes of the society.","2015",8514
"Chitrangada - The Crowning Wish","https://hoichoi.tv/films/title/chitrangada-the-crowning-wish","When Rudra and Partho decide to adopt a child, law does not allow them. Rudra decides to undergo sex-change surgery so that the duo is considered as a couple.","2012",7570
"Chokher Bali","https://hoichoi.tv/films/title/chokher-bali","A Rituparno Ghosh gem based Tagore's work that deals with love and betrayal, and mirrors a distressed woman's emotions. Watch the award-winning movie on hoichoi.

","2003",12180
"Chopper","https://hoichoi.tv/films/title/chopper","Chopper, a political drama is about the love of Rajat and Rina, blossoming amidst the struggle of the working class. ","1985",6540
"Chorus","https://hoichoi.tv/films/title/chorus","""Chorus"" explores the story of an organisation that offers 100 vacant positions and promises jobs to many people. What happens when the number of applicants is more than the jobs? ","1974",6726
"Chotoder Chobi","https://hoichoi.tv/films/title/chotoder-chobi","Khoka fights for his friend Shibu, a trapeze artist who is not provided adequate compensation after he meets with an accident. Things get complicated when Khoka falls for Shibu's daughter.","2014",6526
"Chotushkone","https://hoichoi.tv/films/title/chotushkone","Four directors come together to make a film with four different stories, with only one connection : Death. Watch the national award winning suspense thriller ""Chotushkone"".","2015",6871
