"Title","Link","Desc","Year","Runtime"
"Ghatkali","https://hoichoi.tv/films/title/ghatkali","""Ghatkali"" revolves around a man Niladri, uninterested in marriage, meets a woman Subhra and instantly hates her. How does fate unite them? ","1979",7079
"Go For Goals","https://hoichoi.tv/films/title/go-for-goals","Five young boys dream of making it big in the world of football. However, they must overcome the challenges in their path to fulfil their ambitions.","1985",6101
"Gogoler Kirti","https://hoichoi.tv/films/title/gogoler-kirti","The famous child detective Gogol, on arriving at a friend's place for Durga Puja, Gogol finds a statuette is missing. Gogol and Ashok, a photographer, team up and embark on a mission to resolve the mystery.","1971",7179
"Golemale Pirit Koro Na","https://hoichoi.tv/films/title/golemale-pirit-koro-na","Gouranga and Gobindo try to woo Banya and Rai, two beautiful women, by changing their names to Prem after they discover that they love that name.","2017",7469
"Goopy Bagha Phire Elo","https://hoichoi.tv/films/title/goopy-bagha-phire-elo","""Goopy Bagha Phire Elo"", the third film of the Goopy-Bagha trilogy as Goopy and Bagha go to the evil Brahmananda who promises to make them young, if they procure three precious stones. ","1955",6871
"Goraay Gondogol","https://hoichoi.tv/films/title/goraay-gondogol","""Goray Gondogol"" revolves around Rik and Paula, who love each other. But, trouble arises when Paula’s father wants to meet Rik’s family. ","2019",9284
"Gotro","https://hoichoi.tv/movies/gotro-2019","""Gotro"" explores the relationship beyond religious barriers, between an elderly woman and a former convict who arrives as a servant.",NA,8283
"Goyenda Junior","https://hoichoi.tv/films/title/goyenda-junior","Bikram, a teenage detective with keen obsevation skills helps Senior Police Officer Sanjay to investigate the perfect crime. Watch the bumpy and entertaining thriller ""Goyenda Junior"".","2019",7042
"Goynar Baksho","https://hoichoi.tv/films/title/goynar-baksho","An  adaptation of Shirshendu Mukhopadhyay's novel, Goynar Baksho revolves around a matriarch of a Bengali Hindu family who becomes so obsessed with her secret jewellery box that she rises from her grave to make sure that her niece-in-law protects it from the other relatives.","2017",8493
"Guru Dakshina","https://hoichoi.tv/films/title/guru-dakshina","A film noted for Bappi Lahiri’s music, about a singer finding success in the city. But, will love change his life? Watch the Bengali hit online on hoichoi.
","1985",8793
"Haami","https://hoichoi.tv/films/title/haami","""Haami"" revolves around two kids, Bhutu and Chini. When Bhutu kisses Chini, their innocent friendship leads to a major scandal. Who is to be blamed when our society lets down the little ones?","2011",7955
"Half Serious","https://hoichoi.tv/films/title/half-serious","""Half Serious"" is a satirical take on the mocking situations like inequality and violence on women, through the story of a female filmmaker. ","2015",7309
"Hangsharaj","https://hoichoi.tv/films/title/hangsharaj","A Bengali film about a young Baul singer from a village who wants to sing on the radio. Will his dreams come true? Watch the film online on hoichoi. 
","1973",6982
"Har Mana Har","https://hoichoi.tv/films/title/har-mana-har","Nira falls in love with Binu, an artist, but their relationship suffers a heavy blow when Protima gets jealous of their bond and plots to separate them.","1971",7740
"Haripada Bandwala","https://hoichoi.tv/films/title/haripada-bandwala","A powerful man kidnaps Haripada, a common man, and forces him to pretend to be his girlfriend's lover so that he can mislead his suspicious and jealous wife.","2011",8412
"Hello Kolkata","https://hoichoi.tv/films/title/hello-kolkata","""Hello Kolkata"" revolves around four couples dealing with different troubles and emotions in life, as their lives dissect with each other. ","2008",5158
"Hemanta","https://hoichoi.tv/films/title/hemanta","Based on Shakespeare's Hamlet, the film revolves around Hemanta, a fim making student who returns to India from U.S.A, after his father commits suicide, only to face the dark realities of life.","2015",8832
"Hemlock Society","https://hoichoi.tv/films/title/hemlock-society","Ananda, the founder of Hemlock Society, a school that teaches aspirants how to successfully commit suicide, develops feelings for Meghna, an aspirant, which changes both of their lives.","2015",8400
"Hercules","https://hoichoi.tv/films/title/hercules","Hercules is the story of a common man. His actual name is Harakailash, his timid nature and compromising attitude has prompted the local people to call him Hercules in jest.","2008",6690
"Hirak Rajar Deshe","https://hoichoi.tv/films/title/hirak-rajar-deshe","Satyajit Ray’s classic, the second Goopy and Bagha film, explores the story of when Goopy and Bagha learn about Hirak Raja's tyranny, they try to set him right with the help of Udayan, a schoolteacher, and their magical powers.","1955",6871
"Hoichoi Unlimited","https://hoichoi.tv/movies/hoichoi-unlimited-2018","Four friends plan a ""men only"" trip to Uzbekistan. But can they ever flee from the close watch of their wives? Watch the full movie on Hoichoi.
",NA,8079
"I Love You","https://hoichoi.tv/films/title/i-love-you","Puja falls in love with Rahul, a rich boy, but his family insults her rustic upbringing. In order to win her back, Rahul starts working for Puja's brother, Indra.","2011",11040
"Indrani","https://hoichoi.tv/films/title/indrani","The film revolves around Indrani who marries Sudarshan, an unemployed man for love. Will their differences push them apart? ","1957",7294
"Interview","https://hoichoi.tv/films/title/interview","A simple yet unique Mrinal Sen film, ""Interview"" is about a man who wants a Western suit for an interview but returns to his roots by choosing ethnic wear.","1974",4810
"Iti Mrinalini","https://hoichoi.tv/films/title/iti-mrinilini","An Aparna Sen movie about an ageing actress who starts to relive her youth before writing her suicide note. Watch the Bengali film starring Konkona Sen Sharma on hoichoi.
","2014",8220
"Iti Srikanto","https://hoichoi.tv/films/title/iti-srikanto","Inspired by the novel Srikanta, ""Iti Srikanto"" is the story of a man torn between two women: a courtesan and a Vaishnavite.","2018",7286
"Jackpot","https://hoichoi.tv/films/title/jackpot","Arka and Dodo participate in a reality show to win the INR one crore prize money. However, the tasks they have to go through are not as easy as they expected them to be.","2015",8580
"Jalsaghar","https://hoichoi.tv/films/title/jalsaghar","Biswambhar Roy, fond of music, spends his life in pursuit of prestige. However, when his self-made neighbour organises musical fests, he starts facing economic crisis.","1955",5417
"Jamai 420","https://hoichoi.tv/films/title/jamai-420","Shaan, Bijoy and Joy go to Bangkok in the midst of an ongoing wedding and do some crazy things to attract their lady-loves' attention and that lands them in trouble.","2015",8154
"Jamai No. 1","https://hoichoi.tv/films/title/jamai-no-1","Jamai No. 1, is the story of a businessman whose two sons-in-law depend on him. What happens when his third daughter marries a thief? ","1985",9617
"Jamalaye Jibanta Manush","https://hoichoi.tv/films/title/jamalaye-jibanta-manush","After Sidhu's lover kills herself, he is mistakenly sent to hell while he is still alive. However, he receives a second chance and makes many changes in hell.","1957",7628
"Janala","https://hoichoi.tv/films/title/janala","""Janala"" explores love and nostalgia as a man tries to repair a window in is old school, using his fiancee’s money.","2015",6303
"Jatugriha","https://hoichoi.tv/films/title/jatugriha","A Tapan Sinha classic, ""Jatugriha"" about a once married couple, meeting each other by chance and taking a walk down memory lane.","2008",6614
"Jhinder Bondi","https://hoichoi.tv/films/title/jhinder-bondi","Based on The Prisoner of Zenda, ""Jhinder Bondi"" is the classic tale of the king of Jhind being replaced by a look-alike after the king’s evil brother makes him disappear.","1957",6228
"Jodi Love Dile Na Prane","https://hoichoi.tv/films/title/jodi-love-dile-na-prane","It's been long since Paromita parted ways with her lover, but do her emotions still resonate with his feelings?
","2015",6928
"Josh","https://hoichoi.tv/films/title/josh","Indra attempts to rescue Anuradha, his best friend's sister, when she gets involved in an ongoing family feud and things take a turn for the worse.","2013",9010
"Jukti Takko Aar Gappo","https://hoichoi.tv/films/title/jukti-takko-aar-gappo","A Ritwik Ghatak film about an alcoholic man, forced to leave the house, who meets some strange people in the villages. Watch the film online on hoichoi.
","1977",6825
"Kabir","https://hoichoi.tv/movies/kabir-2018","Yasmin meets a charming photographer, Kabir, while traveling on a train. But Yasmin and Kabir are star-crossed in the battle between terrorism and love.
","2018",6498
"Kabuliwala","https://hoichoi.tv/films/title/kabuliwala","Based on Tagore’s short story, ""Kabuliwaala is a classic tale about the friendship of a little girl and a dry fruit seller from Kabul. ","1957",6399
"Kalankini Kankabati","https://hoichoi.tv/films/title/kalankini-kankabati","""Despite being married, king Rajshekhar Ray falls in love with dancer Aparna, who loves Raghubir. Will the lovers unite?""","1980",6797
"Kalpurush","https://hoichoi.tv/films/title/kalpurush","Kalpurush, revolves around a son who tries to reconnect with his father, who was left by his mother for being unfaithful.","2015",7320
"Kanch Kata Hirey","https://hoichoi.tv/films/title/kanch-kata-hirey","When Subrata learns that his father is involved in a political scandal, he investigates the case and tries to bring his own father to justice.","2013",7131
"Karunamoyee","https://hoichoi.tv/films/title/karunamoyee","""Karunamoyee"" explores the struggle of a mother with a physically challenged baby. Will her faith give her peace? ","1985",8629
"Katmundu","https://hoichoi.tv/films/title/katmundu","Three friends, tired of their worklife, travel to Nepal, only to have their trip ruined by two women! Watch ""Katmundu"", an adventurous pot-boiling comedy.","2008",7567
"Kelor Kirti","https://hoichoi.tv/films/title/kelor-kirti","Three young couples are caught in a web of misunderstanding when a charming woman walks into their lives. Thereafter, they keep facing hilarious situations and fall into trouble.","2012",9216
"Khaad","https://hoichoi.tv/films/title/khaad","A group of people meet with a terrible accident while venturing on a journey, but they miraculously survive. Deserted, these travellers end up playing a game and revealing their darkest secrets.",NA,4735
"Kharij","https://hoichoi.tv/films/title/kharij","Based on a novel by Ramapada Choudhury, directed by Mrinal Sen ""Kharij"" tells the tale of a young servant boy who is found dead due to medical negligence by his employers.","1974",5437
"Khudito Pashan","https://hoichoi.tv/films/title/khudito-pashan","A Bengali film adapted from Tagore’s short story about a man who starts living in a haunted palace in a village. Watch the Soumitra Chatterjee film on hoichoi.
","1957",5997
"Ki Kore Toke Bolbo","https://hoichoi.tv/films/title/ki-kore-toke-bolbo","Anjali, wants to divorce her husband Akash, but is forced to live with him for six months first. Will she long to be with the one she loves, or will she learn to love the one she's with?","2003",8976
"Kolkata 71","https://hoichoi.tv/films/title/kolkata-71","A collection of four stories based on the seventies, Calcutta 71 by Mrinal Sen depicts the social, economic, and political scenario of that time in Bengal.","1974",6995
"Komal Gandhar","https://hoichoi.tv/films/title/komal-gandhar","Ritwik Ghatak’s masterpiece, with a stellar cast, ""Komal Gandhar"" etches upon the struggle of art and artistes in the changing society.","1977",7455
"Konttho","https://hoichoi.tv/movies/konttho-2019","A Shiboprosad-Nandita film, explores a radio jockey whose life changes when he loses his voice to cancer. How will he fight back ? Watch the inspiring tale ""Kontho"".","2018",8427
"Kony","https://hoichoi.tv/films/title/kony","""Kony"" is an inspiring sports movie about a swimmer beating poverty and social obstacles, with the help of her coach. Do they win?","1985",7217
"Kranti","https://hoichoi.tv/films/title/kranti","Jeet and his family come to a city that is ruled by the dreaded gangster, Vishnu. In college, Vishnu's brother, Deva, and Jeet get into many scuffles, which leads to disastrous consequences for Jeet.","2011",9780
"Krishna","https://hoichoi.tv/films/title/krishna","Krishna is the story of an honest police officer trying to find his brother’s killers. Will he succeed? ","2011",7850
"Kuheli","https://hoichoi.tv/films/title/kuheli","Shankar hires Sheba to look after his daughter, Ranu after her mother's death. However, things take a turn when Sheba discovers the presence of a supernatural force in the house.","1971",7681
"Laal Kuthi","https://hoichoi.tv/films/title/laal-kuthi","""Laal Kuthi"" revolves around a family blackmailed about an accidental murder committed by a member. What happens next? ","1977",7407
"Laboratory","https://hoichoi.tv/films/title/laboratory","A hoichoi movie based on Tagore’s story about a woman trying to save her husband’s lab and find her daughter a partner. Watch the Anirban Bhattacharya-starrer on hoichoi.
","2015",5727
"Lal Pathar","https://hoichoi.tv/films/title/lal-pathar","""Lal Pathar"" revolves around Kumar who saves Sunita and brings her home. What happens when he falls for her melodious voice? ","2018",7879
"Le Halua Le","https://hoichoi.tv/films/title/le-halua-le","As Sonali moves to the city to earn money and repay her debts, she fakes a marriage with Suvojeet, a struggling artist, in order to get low-priced accommodation.","2015",8820
"Love Aaj Kal Porshu","https://hoichoi.tv/movies/love-aaj-kal-porshu-2020","Love that remains the same - through time… A tale of two people who find each other - across ages, beyond faces. A romance that gives you a whiff of fresh air ""Love Aaj Kal Porshu""","2003",6162
"Maati","https://hoichoi.tv/films/title/maati","When Megha learns about her grandmother's murder, she travels to Bangladesh to face the family who now occupy her ancestral home. ","2018",7290
"Maati O Manush","https://hoichoi.tv/films/title/maati-o-manush","Maati O Manush is the tale of a woman who is a victim of superstitions of villagers who believe that she is a witch and begin to torture her.","2018",6087
"Mahanagar @ Kolkata","https://hoichoi.tv/films/title/mahanagar-kolkata","Set in contemporary Kolkata, ""Mahanagar @ Kolkata"" is the story about people and their lives getting caught in the conflict between global change and old world bigotry. ","2014",5918
"Mahapith Tarapith","https://hoichoi.tv/films/title/mahapith-tarapith","""Mahapith Tarapith"" explores Sameer's unbelievable experiences about Tara Ma as he describes to Ajay, after they meet on a trip. ","1989",6983
"Mama Square","https://hoichoi.tv/films/title/mama-square","Tia loves Sourav, but her relatives who brought her up, are not happy with their relationship. How will they get along?","1985",7500
"Mangal Deep","https://hoichoi.tv/films/title/mangal-deep","A Bengali film about the different lives of two brothers who get separated in their childhood. Will they reunite? Watch the film online on hoichoi.
","1989",8826
"Manush Manusher Janya","https://hoichoi.tv/films/title/manush-manusher-janya","Manush Manusher Janya, is about the struggles of people from different levels of society. Can humanity make the struggle easier? ","1985",7920
"Marutirtha Hinglaj","https://hoichoi.tv/films/title/marutirtha-hinglaj","A Bengali devotional film about the long and difficult journey of devotees through the desert, in search of God. Watch the full movie online on hoichoi.
","1959",7120
"Mastan","https://hoichoi.tv/films/title/mastan","Raju, a poor boy whose mother dies of starvation. He is taken under the fold by the local smuggler Bhanupratap . He grows up to become an antisocial and an associate of the smuggler .","2012",10725
"Mauchaak","https://hoichoi.tv/films/title/mauchaak","A spectacular and classic comedy, ""Mauchaak"" is about a bachelor getting marriage proposals when he rents a house near his office. ","2015",7628
"Meghe Dhaka Tara","https://hoichoi.tv/films/title/meghe-dhaka-tara","Nilkantha, an artist, is admitted in a mental asylum but even while undergoing treatment, he manages to write a play.","2015",7085
"Meghe Dhaka Tara (1960)","https://hoichoi.tv/films/title/meghe-dhaka-tara-1960","Based on a social novel by Shaktipada Rajguru, the story revolves around Neeta, the beautiful daughter of a middle-class refugee from East Pakistan. Watch the masterpiece ""Meghe Dhaka Tara"" by the celluloid rebel - Ritwik Ghatak.","1955",7085
"Mem Saheb","https://hoichoi.tv/films/title/mem-saheb","""Mem Saheb"" is the tragic story of Kajal who falls in love with Amit and helps him to gain success. But, things take a different turn as destiny had other plans for the couple. ","1971",7330
"Memories In March","https://hoichoi.tv/films/title/memories-in-march","One of the finest films by Rituparno Ghosh, ""Memories in March"", the effective exploration of a situation wherein a bereaved mother comes to terms with her late son's sexual identity.","2014",6060
"Michael","https://hoichoi.tv/films/title/michael","With the help of his wife and landlord., Micheal an aspiring filmmaker, sets out to make a film with the yesteryear legend, Mayurbahan.  ","2015",8035
"Minister Fatakesto","https://hoichoi.tv/films/title/minister-fatakesto","When given a chance of becoming the Home Minister for a week, Fatakeshto puts order in a disheveled system. At the end of his term, he manages to solve his personal as well as professional feuds.","2010",8280
"MLA Fatakesto","https://hoichoi.tv/films/title/mla-fatakesto","When given a chance of becoming the Home Minister for a week, Fatakeshto puts order in a disheveled system. At the end of his term, he manages to solve his personal as well as professional feuds.",NA,8400
"Mon Chaye Tomay","https://hoichoi.tv/films/title/mon-chaye-tomay","Mon Chaye Tomay revolves around a couple in love, whose families are against their relationship. Will they be able to unite? ","1985",8100
"Mon Churi","https://hoichoi.tv/films/title/mon-churi","Mon Churi revolves around two men’s experiences of joining a school for thieves, and meeting an aspiring minister. ","2015",7346
"Mon Maney Na","https://hoichoi.tv/films/title/mon-maney-na","Shantanu and Shikha love each other, but have their respective family issues as obstacles. Can they overcome them all? Watch the full movie on Hoichoi.",NA,8049
"Mon Niye","https://hoichoi.tv/films/title/mon-niye","A Bengali film about two sisters one of whom marries an author. But, the author’s ill sister hates his new wife. Watch the Uttam-Supriya film on hoichoi.
","1969",8439
"Mrinaler Chithi","https://hoichoi.tv/films/title/mrinaler-chithi","Based on a short story by Tagore, Mrinal's life changes after she gets married. Now, a young bride, she decides to write letters about her experience of living with her in-laws.","1985",7008
"Nabangsha","https://hoichoi.tv/films/title/nabangsha","When Achinto returns to his village with his family, he finds the place has changed. Things take a turn when his secrets threaten to create havoc around him.","1985",8100
"Nagarik","https://hoichoi.tv/films/title/nagarik","""Nagarik"" revolves around the sole dream of Ramu and Uma to build a happy life together is burdened by a pile of obstacle on their way. Will they beat all obstacles?  ","1977",6748
"Nagarkirtan","https://hoichoi.tv/movies/nagarkirtan-2017","Puti and Madhu, meet each other in a ghetto of eunuchs, and soon their love blossoms. What will be their destiny ? Watch another masterpiece by Kaushik Ganguly - ""Nagarkirtan"".","2003",6812
"Natoker Moto : Like a Play","https://hoichoi.tv/films/title/natoker-moto","""Natoker Moto"" explores an investigation of the sudden demise of an extremely reputed actress' death that dwelves into an ongoing search behind the causes of ceaseless conflicts that a female artist has to confront","2018",7243
"Nawab","https://hoichoi.tv/films/title/nawab","The fim revolves around Nawab, a man of principles, who finds the courage to fight for what is right. Will he succeed?  ","1991",8325
"Nayan Shyama","https://hoichoi.tv/films/title/nayan-shyama","Shyama and her parents go to a village to find her missing brother. The events and the people she meets there change her perspective towards life.","1985",6960
"Nimantran","https://hoichoi.tv/films/title/nimantran","Hiru who loves Kumudini, but is rejected by her father. Years later, Hiru returns to win Kumudini back even though he is married to someone else.","2008",4936
"Nirbaak","https://hoichoi.tv/films/title/nirbaak","Nirbaak is a medley of four tales of silent love, involving one woman (Sushmita), three men (Anjan, Jishu and Ritwick), a tree and a dog.","2016",6362
"Nirbasito","https://hoichoi.tv/films/title/nirbasito","A Bengali film redefining freedom for women, through the story of a female writer banished from her motherland. Watch the film starring Churni Ganguly on hoichoi.
","2016",6433
"Nirdharita Shilpir Anupasthitite","https://hoichoi.tv/films/title/nirdharita-shilpir-anupasthiti","Nirdharita Shilpir Anupasthitite revolves around a father and daughter, who get separated and unite after a long time. However, things take a drastic turn when the daughter has problem adjusting with her father's rich background.","1985",8640
"Nirjan Saikate","https://hoichoi.tv/films/title/nirjan-saikate","""Nirjan Saikate"" is a classic movie about the social taboos that widows face, narrated through a writer’s interactions with Bengali widows. ","1957",7185
"Obhishopto Nighty","https://hoichoi.tv/films/title/obhishopto-nighty","""The story of the film revolves around a cursed nightie which changes hands in a logical manner, not magically. The original owner of the nightie had experienced unfulfilled love, which ultimately led to a curse on it.
""","2019",6742
"Ogo Badhu Sundari","https://hoichoi.tv/films/title/ogo-badhu-sundari","""Ogo Bodhu Sundori"", one of the finest comedy fims, revolves around a man trying to groom a girl who seeks shelter in his house and invites trouble in his marriage. ","2013",7777
"Ora Thakey Odharey","https://hoichoi.tv/films/title/ora-thakey-odharey","Based on a story by Premendra Mitra, Ora thake Odhare explores the long-standing feud between two families living in the same neighbourhood takes an unusual turn when the young ones fall in love with each other.","1953",5969
"Padma Nadir Majhi","https://hoichoi.tv/films/title/padma-nadir-majhi","A film about a Bengali Muslim boatman who wants to create a safe home for both Hinus and Muslims on a delta island. Watch the film online on hoichoi.
","1991",7890
"Palatak","https://hoichoi.tv/films/title/palatak","A Bengali film about an adventurous man who leaves for a trip alone. He leaves behind his wife has some news to share. Watch the film online on hoichoi.
","2018",8002
"Pather Panchali","https://hoichoi.tv/films/title/pather-panchali","Based on the story by Bibhutibhushan Bandopadhyay, ""Pather Panchali"" revolves around Apu and his sister Durga trying to make the most out of their poverty-stricken lives.","1955",7223
"Personal Assistant","https://hoichoi.tv/films/title/personal-assistant","Personal Assistant is a comedy that tells the story of an unemployed man trying to get a job in a company that only hires women. Will he succeed? ","1959",7243
"Poran Jaye Jolia Re","https://hoichoi.tv/films/title/poran-jaye-jolia-re","Anna lives in London and is in love with an English man. However, when her father pressurises her to get married to an Indian, she hatches a plan to get rid of him after her wedding.","2011",8400
"Pothey Holo Deri","https://hoichoi.tv/films/title/pothey-holo-deri","When a doctor falls in love with a wealthy heiress, she tries helping him with his higher studies but their union is opposed by her grandfather who plans to separate them.","1957",7559
"Power","https://hoichoi.tv/films/title/power","After being discouraged by his brother-in-law, a police officer, a dejected Jeetu steals his uniform and goes around pretending to be an officer of the law.",NA,9388
"Praktan","https://hoichoi.tv/films/title/praktan","Sudipa and Ujaan, two distinct people with different ideologies go their spearate ways. Years later, they meet each other on a train on their journey from Mumbai to Howrah.","2016",8554
"Pratidwandi","https://hoichoi.tv/movies/watch-pratidwandi-bengali-movie-online","When Dr. Bakshi' s son gets kidnapped, Siddharta and his team of private investigators look into the case. Is the kidnapping related to the series of recent murders in Kolkata? And how is maths teacher Sukumar Sen connected to all this?
",NA,6512
"Pratikar","https://hoichoi.tv/films/title/pratikar","""Pratikar"" revolves around Shankar, who decides to seek revenge when his sister Sandhya is raped and murdered by Ratan.","1985",8468
"Pratisodh","https://hoichoi.tv/films/title/pratisodh","Ranjan seeks revenge 16 years later from his uncle, Sanatan, as he was imprisoned on a false allegation, causing his father to go insane.","1980",7292
"Prem Amaar","https://hoichoi.tv/films/title/prem-amaar","Rabi, a good-for-nothing youngster, falls in love with his new neighbour, Riya. However, his life takes a turn for the worse when he learns that Riya is betrothed to another man.","2015",9000
"Prem Pujari","https://hoichoi.tv/films/title/prem-pujari","Surjo Kanto Chowdhury, a landlord with a passion for dancing, lives with his wife in Hridaypur. His bailiff Gadhadar hatches a conspiracy to usurp all of his property.","2002",8280
"Prem Tame","https://hoichoi.tv/movies/watch-prem-tame-anindya-chatterjee-bengali-movie-online","A unique love story between three small town friends. But things change as it is the same love that makes them closer and drift apart. What happens when a dog comes into their equation?
","2021",7690
"Premer Kahini","https://hoichoi.tv/films/title/premer-kahini","Akash falls in love with Barsha but loses contact with her due to unforeseeable circumstances. While attending a marriage ceremony, he is shocked to realise that the bride is none other than Barsha.",NA,9300
"Prithibi Amare Chay","https://hoichoi.tv/films/title/prithibi-amare-chay","""Prithibi Amay Chaye"" tells the love story of Tapash and RIna, who fight against all odds to live with each other happily and forever.","1957",9077
"Projapoti Biskut","https://hoichoi.tv/films/title/projapoti-biskut","""Projapoti Biskut"" revolves around Shaon who unlike her husband Antor, is an indepedent woman bound to live a supressed life. Will Antor be able to mend their relationship?","2017",6957
"Proloy","https://hoichoi.tv/films/title/proloy","""Proloy"" tells the tale  of a brave heart Barun Biswas, who raises voice against numerous gang rapes in a village called Dukhiya.","2014",7344
"Protarak","https://hoichoi.tv/films/title/protarak","""Protarok"" revolves around Kumar, son of a business tycoon, who goes to the city for a real estate project. But, someone is plans to murder him. ","2002",8747
"Protidwandi (2010)","https://hoichoi.tv/films/title/protidwandi-new","Protidwandi revolves around a village simpleton Debu who aspires to become an actor and is eventually successful. But can he fight the evils brought by his fame? ","2010",9203
"Raikamal","https://hoichoi.tv/films/title/raikamal","A Bengali film about a village girl devoted to her beloved, and finding love in various forms as she wanders around. Watch the classic film online on hoichoi.
","1953",6959
"Raja Gaja No Problem","https://hoichoi.tv/films/title/raja-gaja-no-problem","Cousins Raja and Gaja go to Kolkata to make a new start as they keep getting into trouble, but save Titli's life and welcome her into their home. Thereafter, they also help Titli's problematic family.","2011",7620
"Raja Rani Raji","https://hoichoi.tv/films/title/raja-rani-raji","""Raja Rani Raji"" revolves around a man who tries to prove his worth to the woman he loves, and her father. Will he succeed? ","2017",8427
"Raja Saheb","https://hoichoi.tv/films/title/raja-saheb","""Raja Saheb"" is about the ill-fated lives of three people, as they get banned from their village. How will they cope with their dreaded situation? ","2002",6594
"Rajkahini","https://hoichoi.tv/films/title/rajkahini","Begum Jaan, who runs a brothel in a village in Bengal bordering India and Pakistan, desperately strives to save her declining business amidst the changing political scenario during the Partition.",NA,9080
"Rajkumari","https://hoichoi.tv/films/title/rajkumari","A Bengali romance about a girl brought up in strict discipline, who finds joy and love in the music of a man. Watch the Tanuja-Uttam Kumar film online on hoichoi.
","1969",7515
"Rajlakshmi O Srikanta","https://hoichoi.tv/films/title/rajlakshmi-o-srikanta","Based on the novel Srikanta of Sarat Chandra Chattopadhyay, the story revolves around Srikanta whose paths are crossed with Pyaribai as he discovers that she is his childhood love, Rajlakshmi. ","1957",7956
"Refugee","https://hoichoi.tv/films/title/refugee","Estranged from his family, Shiva grows up to become a refugee and helps the needy. One day, he comes across his family only to learn that his jealous brother doesn't want him back.","2011",9180
"Rehmat Ali","https://hoichoi.tv/films/title/rehmat-ali","Rehmat Ali has one mission in life, to eradicate everything that is evil. However, he falls in love with a woman who dies tragically, leaving him a changed man.","2011",7920
"Romeo","https://hoichoi.tv/films/title/romeo","Escaping her father's domineering personality, a woman moves to Kolkata, where she meets a playful young man who turns out to have hidden depths.","2003",9300
"Room No 103","https://hoichoi.tv/films/title/room-no-103","A Bengali film narrating four different incidents in the lives of four people, all of which take place in a hotel room. Watch the full movie online on hoichoi.
","2014",6954
"Rosogolla","https://hoichoi.tv/films/title/rosogolla"," Based on the life of famous sweet-maker Nobin Chandra Das, the film explores his struggle in the tale of the making of Bengal’s favourite sweet, ""Rosogolla"".","2018",8117
"Roudra Chaya","https://hoichoi.tv/films/title/roudra-chaya","The lost son of an industrialist grows up in a church and turns into a unprincipled person. He later falls in love with a girl and tries to change his behaviour.","2002",6348
"Run","https://hoichoi.tv/films/title/run","Run revolves around Jit and Megha, who are madly in love, but they cannot get married until he he has a stable job. What will he do?","2002",9060
"Rupkotha Noy","https://hoichoi.tv/films/title/rupkotha-noy","Sisir, a 72 year old man, disassociated with his family, gets along with four strangers and finds solace in their company. Watch ""Rupkotha Noy"" one of Atanu Ghosh's best, with a stellar cast.","2018",6642
"Saat Pake Bandha (1963)","https://hoichoi.tv/films/title/saat-pake-bandha-1963","A young girl, Archana, falls in love with Sukhendu. Archana's father gladly accepts him but Sukhendu's income and nature come in way of this marriage.","2002",7670
"Sabar Oparey","https://hoichoi.tv/films/title/sabar-oparey","A Bengali film about a man trying to reopen the case of murder charges against his father. What secret does he find?
","1953",9014
"Sabyasachi","https://hoichoi.tv/films/title/sabyasachi","Sabyasachi, a talented visionary, along with Sumitra, forms a social reform unit and continues to inspire people to revolt against the British rule in the Indian freedom struggle. ","1973",8759
"Sagar Sangame","https://hoichoi.tv/films/title/sagar-sangame","The film ""Sagar Sangame"" explores the mother-daughter relationship, told through the journey of a duo to the holy Sagar Island. ","1959",6197
"Sagarika (1956)","https://hoichoi.tv/films/title/sagarika-1956","The film revolves around a brilliant medical student, Sagarika, who has no one. What happens when a doctor named Arun falls for her? ","1953",6943
"Saheb","https://hoichoi.tv/films/title/saheb","""Saheb"" explores the life of a  young footballer who is mostly ignored by everyone in the family . What happens when he gives up his career for his family? ","1980",7293
"Saheb Bibi Golam","https://hoichoi.tv/films/title/saheb-bibi-golam","Based on the novel by Bimal Mitra, ""Saheb Bibi Golam"" revolves around Bhutnath, a young man,  who finds himself drawn to the wife of the younger landlord after he gets a chance to live with them.","1955",8994
"Sankalpa","https://hoichoi.tv/films/title/sankalpa","Sankalpa revolves around an ailing father who is worried about his family, in case of his death. Will he be able to secure their future?","2002",7760
"Sanyasi Raja","https://hoichoi.tv/films/title/sanyasi-raja","Loosely based on the Bhawal case, ""Sanyasi Raja"", tells the tale of a monk claiming to be the prince Surya Sekhar who’s believed to be dead. ","1975",8382
"Saptami","https://hoichoi.tv/films/title/saptami","Saptami tells the story of Soumo leaving his wife Saptami in his friend's care, for his education. But what shock awaits him?","2002",8880
"Sare Chuattar","https://hoichoi.tv/films/title/sare-chuattar","The male boarders of Rajani Babu's Annapurna Boarding House in Kolkata lead a peaceful life until Romola, a young and beautiful woman, and her family move in as new residents.","1953",5875
"Sasur Bari Zindabad","https://hoichoi.tv/films/title/sasur-bari-zindabad","Rupa, a girl from a wealthy family, faces many hardships to save herself from an arranged marriage, which her parents try to force upon her. While visiting her uncle, she meets the love of her life.","2017",9060
"Sathi","https://hoichoi.tv/films/title/sathi","Bijoy is an aspiring singer who hails from a village in Burdwan district. When he returns home from Kolkata, he is shocked to learn about the death of his mentor.","2015",9000
"Sathya Mithya","https://hoichoi.tv/films/title/sathya-mithya","""Satya Mithya"" revolves around a housewife who's happy in her life, unaware of her husband's affair. ","1991",10200
